Address,Total Tokens,Total Return,Good Trades,Bad Trades,Winning%,Unrealized Profits
0xf748727f54c1a57bc6fd23d46a188122f1cfabe2,0,0,0,0,0,0
0x37f106588b973bcdcde85c960957f399ae43efd2,7,0.505479247,1,0,0,-274.3116153
0xd17760ecfa99f70aba7128961b8f87eb8d970d1a,33,-371.0909454,1,3,0.25,-297651.0912
0x8c6fdb5926e31994c9372f5907508b36aca500b6,0,0,0,0,0,0
0xc53af37b73818d09876db5da099b569be8b4379e,0,0,0,0,0,0
0xa3d67d56a06ad6c253a57c6d4bdaf2948c08d270,0,0,0,0,0,0
0x5054a3283e57cc1bd1109f596a0a5a31887d56fb,0,0,0,0,0,0
0x208b82b04449cd51803fae4b1561450ba13d9510,134,58147.54487,47,23,0.671428571,-10067.04525
0x2155df680e53eb3d978158bbeb597e7615341af7,0,0,0,0,0,0
0x3bd77b00f02c8bcff586c565e2c5e6b6c5878ec3,7,176.0590723,1,2,0.333333333,-138.3067469
0x1297ad486549a430d59d9d5f99ed7c216b6e77dd,7,0,0,0,0,-2027.311362
0x69ef61afc3aa356e1ac97347119d75cbdabef534,6,-2.875393859,0,1,0,-1136.743939
0x06e64c7b3e1e9dc31aca77068ce0d6dafa55a4ea,0,0,0,0,0,0
0xb73f8abc0371b1ab67f9daaedb7ecbc1b1dd7e79,13,-15.75099555,0,2,0,-27.41317468
0x184c7e34b75e3a0c5b996917319d9a083de621e9,44,-68.91089299,2,4,0.333333333,1986.864042
0xca11d10ceb098f597a0cab28117fc3465991a63c,0,0,0,0,0,0
0xf3ae3bbdeb2fb7f9c32fbb1f4fbdaf1150a1c5ce,3,0,0,0,0,5146.590812
0x94de7e2c73529ebf3206aa3459e699fbcdfcd49b,19,-9.167888085,0,2,0,-11871.69033
0x077777f53544c2b2ef753c19e8fc048049c5ff95,0,0,0,0,0,0
0xb5f31eb9e70f88c5997a243dfb59b7097bcd84be,62,213.2007678,6,17,0.260869565,-4.949689139
0x7ac34681f6aaeb691e150c43ee494177c0e2c183,1,0,0,0,0,370.3657676
0xf450a188a00a82ca95fdff613a34aafb81a7c5d0,0,0,0,0,0,0
0x0f4ee9631f4be0a63756515141281a3e2b293bbe,3090,-1250012.79,667,442,0.601442741,-5033970.207
0x717821aae2a45c5c5c5bcda7a8662cd3df2385e5,12,0,0,0,0,-2384.989663
0xa25a9b7c73158b3b34215925796ce6aa8100c13a,63,-2120.176141,4,4,0.5,-37690.57716
0x9777daabf322d38af7a49a66dc55f3086127baea,78,8743.155367,12,18,0.4,-20577.77229
0x2e403b969a64bdd1ca18fe10baba4546957bc31e,14,16.56562387,1,1,0.5,8.277186583
0xc2a175337ae648d80970c20b2906dedb1e7c3b0a,0,0,0,0,0,0
0x6ced59a8d2da7bdf3e6c2920f632421a8f3c34d1,99,13077.61908,11,2,0.846153846,-43944.40302
0xbfe8270d85cae24420af050ff74c735c0f218a29,0,0,0,0,0,0
0x5f82c97e9b1755237692a946ae814998bc0e2124,0,0,0,0,0,0
0x64a302b702951c8106d4b4d3033c75d0bed3b138,0,0,0,0,0,0
0x2fcc020f72e5d2edd2a24d04f3dc90d7fdfbd1dd,2,0,0,0,0,-187.3675118
0x7f2fd2eaaf73ce2b4897566aca233244a4524bfb,5,40.05731068,2,0,0,-7.40E-14
0xf03ead9442a4f76367c6a8efd6eb87d357b34a68,0,0,0,0,0,0
0x6405127e97c3c9d0fb49a48a3332f82581a1ee03,0,0,0,0,0,0
0xa5836a1f1b6dbd88248f960cd83dcb2bde1c92ae,4,-6059.034526,0,1,0,-9605.634178
0xebba70aada0920296c789551c80e6c3a6c039f75,0,0,0,0,0,0
0x4544e2fae244ea4ca20d075bb760561ce5990dc3,25,170.229391,2,0,0,-923449.0755
0x056590f16d5b314a132bbcfb1283fec5d5c6e670,41,-4719.668796,3,11,0.214285714,-43593.93397
0xfcfa4369eaa965ac4e36f1dd9fd2852c6542b0f7,38,-142.1294506,12,5,0.705882353,-44.91462295
0xdd69c8b49873d6b9bf0e4fd90a5bfcb819cc2456,0,0,0,0,0,0
